Ep 1 | Steps: 300 | Reward: -28.79 | Loss: 0.0152 | Epsilon: 0.990 | Success: NO
Ep 2 | Steps: 300 | Reward: -11.20 | Loss: 0.0088 | Epsilon: 0.980 | Success: NO
Ep 3 | Steps: 300 | Reward: 20.10 | Loss: 0.0074 | Epsilon: 0.970 | Success: NO
Ep 4 | Steps: 300 | Reward: -17.12 | Loss: 0.0072 | Epsilon: 0.961 | Success: NO
Ep 5 | Steps: 300 | Reward: -60.95 | Loss: 0.0057 | Epsilon: 0.951 | Success: NO
Ep 6 | Steps: 300 | Reward: -20.73 | Loss: 0.0056 | Epsilon: 0.941 | Success: NO
Ep 7 | Steps: 300 | Reward: 18.64 | Loss: 0.0060 | Epsilon: 0.932 | Success: NO
Ep 8 | Steps: 300 | Reward: -23.39 | Loss: 0.0058 | Epsilon: 0.923 | Success: NO
Ep 9 | Steps: 300 | Reward: -30.43 | Loss: 0.0067 | Epsilon: 0.914 | Success: NO
Ep 10 | Steps: 300 | Reward: -36.27 | Loss: 0.0067 | Epsilon: 0.904 | Success: NO
Ep 11 | Steps: 300 | Reward: -3.11 | Loss: 0.0063 | Epsilon: 0.895 | Success: NO
Ep 12 | Steps: 300 | Reward: -24.06 | Loss: 0.0074 | Epsilon: 0.886 | Success: NO
Ep 13 | Steps: 300 | Reward: 52.37 | Loss: 0.0075 | Epsilon: 0.878 | Success: YES
Ep 14 | Steps: 300 | Reward: -43.41 | Loss: 0.0085 | Epsilon: 0.869 | Success: NO
Ep 15 | Steps: 300 | Reward: 44.42 | Loss: 0.0087 | Epsilon: 0.860 | Success: NO
Ep 16 | Steps: 300 | Reward: -28.60 | Loss: 0.0082 | Epsilon: 0.851 | Success: NO
Ep 17 | Steps: 300 | Reward: -28.71 | Loss: 0.0096 | Epsilon: 0.843 | Success: NO
Ep 18 | Steps: 300 | Reward: -16.53 | Loss: 0.0095 | Epsilon: 0.835 | Success: NO
Ep 19 | Steps: 300 | Reward: -16.22 | Loss: 0.0090 | Epsilon: 0.826 | Success: NO
Ep 20 | Steps: 300 | Reward: -10.70 | Loss: 0.0087 | Epsilon: 0.818 | Success: NO
Ep 21 | Steps: 300 | Reward: -13.44 | Loss: 0.0087 | Epsilon: 0.810 | Success: NO
Ep 22 | Steps: 300 | Reward: -37.96 | Loss: 0.0090 | Epsilon: 0.802 | Success: NO
Ep 23 | Steps: 300 | Reward: -29.57 | Loss: 0.0089 | Epsilon: 0.794 | Success: NO
Ep 24 | Steps: 300 | Reward: -41.28 | Loss: 0.0096 | Epsilon: 0.786 | Success: NO
Ep 25 | Steps: 300 | Reward: -36.69 | Loss: 0.0077 | Epsilon: 0.778 | Success: NO
Ep 26 | Steps: 300 | Reward: -20.15 | Loss: 0.0076 | Epsilon: 0.770 | Success: NO
Ep 27 | Steps: 300 | Reward: -2.34 | Loss: 0.0085 | Epsilon: 0.762 | Success: NO
Ep 28 | Steps: 300 | Reward: -33.38 | Loss: 0.0087 | Epsilon: 0.755 | Success: NO
Ep 29 | Steps: 300 | Reward: -8.96 | Loss: 0.0078 | Epsilon: 0.747 | Success: NO
Ep 30 | Steps: 300 | Reward: -26.44 | Loss: 0.0078 | Epsilon: 0.740 | Success: NO
